id,count
0,1
1,2
2,12
3,21
4,27
5,25
6,28
7,25
8,39
9,12
10,18
11,27
12,18
13,15
14,11
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,1
24,0
25,0
26,9
27,11
28,29
29,30
30,39
31,26
32,33
33,42
34,18
35,19
36,31
37,27
38,33
39,13
40,2
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,4
50,4
51,26
52,35
53,61
54,57
55,74
56,94
57,77
58,45
59,34
60,69
61,62
62,45
63,18
64,3
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,1
74,9
75,21
76,55
77,57
78,56
79,73
80,106
81,128
82,61
83,37
84,87
85,93
86,91
87,13
88,7
89,0
90,0
91,0
92,0
93,0
94,1
95,1
96,0
97,0
98,3
99,2
100,17
101,36
102,55
103,60
104,81
105,116
106,105
107,52
108,50
109,64
110,72
111,59
112,15
113,2
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,1
122,5
123,10
124,21
125,43
126,59
127,86
128,99
129,130
130,113
131,61
132,50
133,63
134,95
135,73
136,28
137,4
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,1
146,0
147,1
148,6
149,17
150,19
151,47
152,54
153,90
154,60
155,52
156,53
157,47
158,89
159,84
160,63
161,18
162,2
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,1
172,7
173,19
174,30
175,48
176,63
177,38
178,68
179,51
180,45
181,39
182,45
183,82
184,51
185,20
186,1
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,2
195,0
196,0
197,8
198,25
199,47
200,60
201,65
202,116
203,118
204,100
205,82
206,56
207,94
208,89
209,63
210,20
211,1
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,2
220,3
221,20
222,26
223,50
224,104
225,156
226,174
227,199
228,194
229,105
230,123
231,107
232,139
233,74
234,16
235,3
236,0
237,0
238,0
239,1
240,0
241,0
242,0
243,0
244,0
245,1
246,5
247,27
248,51
249,83
250,123
251,121
252,172
253,134
254,75
255,67
256,117
257,121
258,71
259,23
260,2
261,1
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,5
270,3
271,17
272,29
273,50
274,63
275,84
276,152
277,186
278,113
279,101
280,147
281,132
282,88
283,40
284,4
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,3
294,14
295,33
296,39
297,61
298,74
299,82
300,103
301,98
302,64
303,48
304,59
305,80
306,43
307,23
308,7
309,1
310,2
311,0
312,0
313,0
314,0
315,0
316,0
317,7
318,11
319,28
320,38
321,58
322,74
323,106
324,86
325,77
326,56
327,56
328,115
329,108
330,70
331,19
332,4
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,1
341,2
342,7
343,25
344,48
345,51
346,62
347,89
348,52
349,45
350,35
351,43
352,68
353,72
354,60
355,9
356,9
357,1
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,3
366,12
367,26
368,43
369,60
370,98
371,94
372,144
373,105
374,73
375,57
376,90
377,85
378,60
379,27
380,3
381,0
382,0
383,1
384,0
385,0
386,0
387,0
388,0
389,1
390,3
391,18
392,27
393,74
394,92
395,99
396,110
397,160
398,152
399,102
400,67
401,128
402,131
403,81
404,16
405,3
406,1
407,0
408,0
409,1
410,0
411,0
412,0
413,0
414,2
415,7
416,23
417,62
418,116
419,138
420,169
421,224
422,297
423,280
424,162
425,111
426,178
427,161
428,124
429,42
430,4
431,1
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,6
440,15
441,42
442,73
443,114
444,124
445,160
446,206
447,167
448,108
449,82
450,137
451,161
452,125
453,52
454,8
455,8
456,0
457,0
458,0
459,0
460,0
461,0
462,2
463,0
464,2
465,12
466,34
467,42
468,57
469,77
470,113
471,147
472,151
473,93
474,65
475,98
476,103
477,97
478,30
479,16
480,4
481,0
482,0
483,0
484,0
485,0
486,1
487,2
488,0
489,5
490,13
491,22
492,38
493,58
494,84
495,98
496,97
497,84
498,51
499,95
500,102
501,104
502,95
503,32
504,5
505,0
506,0
507,0
508,0
509,0
510,0
511,0
512,4
513,6
514,8
515,26
516,60
517,69
518,56
519,66
520,62
521,70
522,58
523,49
524,72
525,87
526,55
527,18
528,3
529,0
530,0
531,0
532,0
533,1
534,0
535,0
536,0
537,0
538,6
539,22
540,30
541,80
542,103
543,108
544,164
545,173
546,158
547,109
548,94
549,146
550,188
551,98
552,39
553,9
554,3
555,0
556,0
557,0
558,0
559,0
560,0
561,1
562,0
563,0
564,10
565,11
566,37
567,59
568,59
569,110
570,160
571,113
572,78
573,68
574,97
575,146
576,133
577,47
578,9
579,2
580,0
581,0
582,0
583,0
584,0
585,0
586,0
587,2
588,10
589,24
590,29
591,28
592,43
593,43
594,54
595,63
596,59
597,51
598,65
599,96
600,88
601,35
602,1
603,1
604,0
605,0
606,0
607,0
608,0
609,0
610,0
611,0
612,2
613,3
614,6
615,11
616,15
617,16
618,9
619,15
620,9
621,14
622,24
623,22
624,27
625,5
626,3
627,2
628,0
629,0
630,0
631,0
632,0
633,0
634,2
635,0
636,0
637,1
638,2
639,0
640,0
641,0
642,0
643,4
644,1
645,2
646,2
647,4
648,3
649,9
650,5
651,3
652,0
653,0
654,0
655,0
656,0
657,0
658,0
659,0
660,0
661,0
662,0
663,0
664,2
665,0
666,0
667,1
668,0
669,0
670,2
671,1
672,1
673,1
674,1
675,0
676,0
677,1
678,0
679,0
680,0
681,0
682,0
683,0
684,0
685,0
686,0
687,1
688,0
689,0
690,0
691,0
692,0
693,1
694,0
695,0
696,1
697,1
698,3
699,1
700,0
701,0
702,2
703,5
704,0
705,0
706,0
707,0
708,0
709,0
710,0
711,0
712,0
713,0
714,0
715,0
716,1
717,0
718,0
719,0
720,0
721,0
722,2
723,1
724,2
725,1
726,0
727,0
728,1
729,0
730,0
731,2
732,0
733,0
734,1
735,0
736,0
737,0
738,0
739,0
740,0
741,0
742,1
743,0
744,0
745,1
746,0
747,0
748,0
749,0
750,2
751,0
752,0
753,3
754,2
755,5
756,0
757,0
758,0
759,0
760,1
761,0
762,0
763,0
764,0
765,0
766,0
767,0
768,0
769,0
770,0
771,2
772,0
773,0
774,3
775,4
776,3
777,1
778,1
779,3
780,1
781,3
782,1
783,2
784,0
785,0
786,1
787,0
788,0
789,0
790,0
791,0
792,0
793,0
794,0
795,0
796,0
797,1
798,4
799,7
800,17
801,16
802,24
803,19
804,27
805,31
806,27
807,15
808,18
809,19
810,13
811,2
812,3
813,0
814,0
815,0
816,0
817,0
818,0
819,0
820,0
821,0
822,5
823,10
824,10
825,15
826,35
827,41
828,28
829,45
830,24
831,14
832,27
833,37
834,18
835,9
836,1
837,0
838,0
839,0
840,0
841,0
842,0
843,0
844,0
845,3
846,9
847,9
848,19
849,36
850,27
851,20
852,34
853,29
854,22
855,33
856,20
857,45
858,19
859,6
860,2
861,0
862,0
863,0
864,0
865,0
866,0
867,0
868,0
869,0
870,4
871,8
872,12
873,17
874,39
875,39
876,25
877,25
878,22
879,25
880,33
881,33
882,20
883,7
884,0
885,0
886,0
887,0
888,0
889,0
890,0
891,0
892,1
893,0
894,0
895,3
896,18
897,36
898,44
899,55
900,74
901,107
902,84
903,45
904,54
905,79
906,91
907,49
908,16
909,3
910,0
911,0
912,0
913,0
914,0
915,0
916,0
917,0
918,1
919,7
920,14
921,29
922,48
923,52
924,67
925,89
926,109
927,65
928,62
929,69
930,81
931,50
932,32
933,3
934,0
935,0
936,0
937,0
938,0
939,0
940,0
941,0
942,1
943,10
944,22
945,37
946,67
947,69
948,87
949,93
950,114
951,76
952,43
953,81
954,94
955,59
956,24
957,3
958,0
959,0
960,0
961,0
962,0
963,0
